Id,Name,Type
00G5f000001KxAeEAK,,Territory
00G5f000001KxAfEAK,,Territory
00G5f000001KxAgEAK,,Territory
00G5f000001KxAhEAK,,Territory
00G5f000001KxAiEAK,,Territory
00G5f000001KxAjEAK,,Territory
00G5f000001KxAkEAK,,Territory
00G5f000001KxAlEAK,,Territory
00G5f000001KxAmEAK,,Territory
00G5f000001KxAnEAK,,Territory
00G5f000001KxAoEAK,,Territory
00G5f000001KxApEAK,,Territory
00G5f000001KxAqEAK,,Territory
00G5f000001KxArEAK,,Territory
00G5f000001KxCoEAK,,TerritoryAndSubordinates
00G5f000001KxCpEAK,,TerritoryAndSubordinates
00G5f000001KxCqEAK,,TerritoryAndSubordinates
00G5f000001KxCrEAK,,TerritoryAndSubordinates
00G5f000001KxCsEAK,,TerritoryAndSubordinates
00G5f000001KxCtEAK,,TerritoryAndSubordinates
00G5f000001KxCuEAK,,TerritoryAndSubordinates
00G5f000001KxCvEAK,,TerritoryAndSubordinates
00G5f000001KxCwEAK,,TerritoryAndSubordinates
00G5f000001KxCxEAK,,TerritoryAndSubordinates
00G5f000001KxCyEAK,,TerritoryAndSubordinates
00G5f000001KxCzEAK,,TerritoryAndSubordinates
00G5f000001KxD0EAK,,TerritoryAndSubordinates
00G5f000001KxD1EAK,,TerritoryAndSubordinates
00G5f000001KxD2EAK,,TerritoryAndSubordinates
00G5f000001KxD3EAK,,TerritoryAndSubordinates
00G5f000001KxD4EAK,,TerritoryAndSubordinates
00G5f000001KxD5EAK,,TerritoryAndSubordinates
00G5f000001KxD6EAK,,TerritoryAndSubordinates
00G5f000001KxD7EAK,,TerritoryAndSubordinates
00G5f000001KxD8EAK,,TerritoryAndSubordinates
00G5f000001KxD9EAK,,TerritoryAndSubordinates
00G5f000001KxDAEA0,,TerritoryAndSubordinates
00G5f000001KxDBEA0,,TerritoryAndSubordinates
00G5f000001KxDCEA0,,TerritoryAndSubordinates
00G5f000001KxDDEA0,,TerritoryAndSubordinates
00G5f000001KxDEEA0,,TerritoryAndSubordinates
00G5f000001KxDFEA0,,TerritoryAndSubordinates
00G5f000001KxDGEA0,,TerritoryAndSubordinates
00G5f000001KxDHEA0,,TerritoryAndSubordinates
00G5f000001KxDIEA0,,TerritoryAndSubordinates
00G5f000001KxDJEA0,,TerritoryAndSubordinates
00G5f000001KxDKEA0,,TerritoryAndSubordinates
00G5f000001KxDLEA0,,TerritoryAndSubordinates
00G5f000001KxDMEA0,,TerritoryAndSubordinates
00G5f000001KxDNEA0,,TerritoryAndSubordinates
00G5f000001KxDOEA0,,TerritoryAndSubordinates
00G5f000001KxDPEA0,,TerritoryAndSubordinates
00G5f000001KxDQEA0,,TerritoryAndSubordinates
00G5f000001KxDREA0,,TerritoryAndSubordinates
00G5f000001KxDSEA0,,TerritoryAndSubordinates
00G5f000001KxDTEA0,,TerritoryAndSubordinates
00G5f000001KxDUEA0,,TerritoryAndSubordinates
00G5f000001KxDVEA0,,TerritoryAndSubordinates
00G5f000001KxDWEA0,,TerritoryAndSubordinates
00G5f000001KxDXEA0,,TerritoryAndSubordinates
00G5f000001KxDYEA0,,TerritoryAndSubordinates
00G5f000001KxDZEA0,,TerritoryAndSubordinates
00G5f000001KxDaEAK,,TerritoryAndSubordinates
00G5f000001KxDbEAK,,TerritoryAndSubordinates
00G5f000001KxDcEAK,,TerritoryAndSubordinates
00G5f000001KxDdEAK,,TerritoryAndSubordinates
00G5f000001KxDeEAK,,TerritoryAndSubordinates
00G5f000001KxDfEAK,,TerritoryAndSubordinates
00G5f000001KxDgEAK,,TerritoryAndSubordinates
00G5f000001KxDhEAK,,TerritoryAndSubordinates
00G5f000001KxDiEAK,,TerritoryAndSubordinates
00G5f000001KxDjEAK,,TerritoryAndSubordinates
00G5f000001KxDkEAK,,TerritoryAndSubordinates
00G5f000001KxDlEAK,,TerritoryAndSubordinates
00G5f000001Kx8wEAC,"Reseller Program",ChannelProgramGroup
00G5f000001Kx8xEAC,"Reseller Program: EMEA",ChannelProgramGroup
00G5f000001Kx8yEAC,"Reseller Program: APAC",ChannelProgramGroup
00G5f000001Kx8zEAC,"OEM Program: Global",ChannelProgramGroup
00G5f000001Kx90EAC,"Reseller Program Bronze",ChannelProgramGroup
00G5f000001Kx91EAC,"Reseller Program Silver",ChannelProgramGroup
00G5f000001Kx92EAC,"Reseller Program Gold",ChannelProgramGroup
00G5f000001Kx93EAC,"Reseller Program Platinum",ChannelProgramGroup
00G5f000001Kx8nEAC,SDO_B2B_Commerce,GuestUserGroup
00G5f000001KxB6EAK,Customers,GuestUserGroup
00G5f000001KxB7EAK,Partners,GuestUserGroup
00G5f000001KxB8EAK,iPadApp,GuestUserGroup
00G5f000001KxB9EAK,PKB3,GuestUserGroup
00G5f000001KxBAEA0,Social_Support,GuestUserGroup
00G5f000001KxBBEA0,Customer1,GuestUserGroup
00G5f000001KxBCEA0,Legacy_1,GuestUserGroup
00G5f000001KxBDEA0,Social_Site,GuestUserGroup
00G5f000001KxBEEA0,Legacy_5,GuestUserGroup
00G5f000001KxBFEA0,Legacy_3,GuestUserGroup
00G5f000001KxBGEA0,Legacy_2,GuestUserGroup
00G5f000001KxBHEA0,Legacy_Employee_Community,GuestUserGroup
00G5f000001KxBIEA0,Public,GuestUserGroup
00G5f000001KxBJEA0,Survey,GuestUserGroup
00G5f000001KxBKEA0,0055f000001pqPDAAY,GuestUserGroup
00G5f000001KxBLEA0,Partner1,GuestUserGroup
00G5f000001KxBMEA0,Legacy_B2B_Commerce_Storefront,GuestUserGroup
00G5f000001KxBNEA0,SDO_Consumer,GuestUserGroup
00G5f000001KxBOEA0,SDO_Professional,GuestUserGroup
00G5f000001KxBPEA0,SDO_Partner_Central,GuestUserGroup
00G5f000001KxBQEA0,Checkout,GuestUserGroup
00G5f000001Kx8iEAC,0at4S000000XZMuQAO-5,AccountRelationshipGroup
00G5f000001Kx8jEAC,0at4S000000XZMzQAO-4,AccountRelationshipGroup
